grid,color1_h,color1_s,color1_v,colour_name,color2_h,color2_s,color2_v,colour_name.1,color3_h,color3_s,color3_v,colour_name.2,color4_h,color4_s,color4_v,colour_name.3,repeated_colour
"Grid(0, 1)",12,26,13,Bright Green,13,27,14,Bright Green,9,23,10,Bright Green,11,25,12,Bright Green,Bright Green
"Grid(0, 2)",16,35,15,Lawn Green,18,35,16,Lawn Green,15,34,15,Bright Green,14,33,13,Lawn Green,Lawn Green
"Grid(0, 3)",13,30,12,Lawn Green,15,32,14,Lawn Green,14,31,13,Lawn Green,16,38,17,Bright Green,Lawn Green
"Grid(0, 4)",9,21,9,Bright Green,10,22,10,Bright Green,8,20,8,Bright Green,18,37,18,Bright Green,Bright Green
"Grid(0, 8)",18,37,17,Lawn Green,18,36,14,Lawn Green,14,35,16,Bright Green,20,44,18,Lawn Green,Lawn Green
"Grid(0, 9)",11,28,12,Bright Green,14,31,15,Bright Green,12,29,13,Bright Green,20,39,17,Lawn Green,Bright Green
"Grid(0, 10)",17,42,13,Lawn Green,18,43,14,Lawn Green,23,48,19,Lawn Green,22,47,18,Lawn Green,Lawn Green
"Grid(0, 11)",17,40,14,Lawn Green,22,47,18,Lawn Green,15,37,14,Lawn Green,16,39,13,Lawn Green,Lawn Green
"Grid(0, 13)",28,51,23,Lawn Green,19,38,16,Lawn Green,12,31,12,Bright Green,18,40,17,Lawn Green,Lawn Green
"Grid(0, 14)",11,28,10,Lawn Green,13,27,10,Lawn Green,10,27,11,Bright Green,9,26,8,Lawn Green,Lawn Green
"Grid(0, 15)",20,44,20,Bright Green,9,23,8,Lawn Green,8,22,7,Lawn Green,7,21,6,Lawn Green,Lawn Green
"Grid(0, 16)",16,38,17,Bright Green,17,39,18,Bright Green,15,37,16,Bright Green,18,40,19,Bright Green,Bright Green
"Grid(0, 18)",17,36,17,Bright Green,20,39,19,Lawn Green,18,37,17,Lawn Green,19,38,18,Lawn Green,Lawn Green
"Grid(0, 19)",20,39,19,Lawn Green,19,41,18,Lawn Green,19,38,18,Lawn Green,18,40,17,Lawn Green,Lawn Green
"Grid(0, 20)",27,31,16,Inchworm,23,30,14,Inchworm,39,44,24,Inchworm,46,51,31,Inchworm,Inchworm
"Grid(0, 21)",14,31,15,Bright Green,25,38,20,Lawn Green,23,38,19,Lawn Green,18,31,14,Lawn Green,Lawn Green
"Grid(0, 22)",19,38,18,Lawn Green,18,37,17,Lawn Green,20,39,19,Lawn Green,23,42,22,Lawn Green,Lawn Green
"Grid(0, 23)",20,38,16,Lawn Green,19,38,16,Lawn Green,20,39,17,Lawn Green,21,40,18,Lawn Green,Lawn Green
"Grid(0, 24)",20,39,20,Bright Green,24,46,25,Bright Green,17,36,16,Lawn Green,8,32,8,Bright Green,Bright Green
"Grid(0, 26)",35,60,30,Lawn Green,29,59,25,Lawn Green,54,60,32,Orange,31,58,25,Lawn Green,Lawn Green
"Grid(0, 28)",20,38,16,Lawn Green,19,37,15,Lawn Green,19,38,16,Lawn Green,18,36,14,Lawn Green,Lawn Green
"Grid(0, 29)",33,60,27,Lawn Green,22,36,19,Lawn Green,15,32,13,Lawn Green,36,48,24,Lawn Green,Lawn Green
"Grid(0, 30)",33,49,20,Lawn Green,36,47,30,Lawn Green,31,50,22,Lawn Green,34,20,9,Red,Lawn Green
"Grid(0, 32)",15,32,13,Lawn Green,16,33,14,Lawn Green,14,31,12,Lawn Green,20,35,14,Lawn Green,Lawn Green
"Grid(0, 33)",20,37,19,Lawn Green,17,34,16,Lawn Green,26,52,25,Lawn Green,19,36,17,Lawn Green,Lawn Green
"Grid(0, 34)",17,36,16,Lawn Green,14,33,11,Lawn Green,16,39,13,Lawn Green,45,58,30,Inchworm,Lawn Green
"Grid(0, 35)",17,36,17,Bright Green,18,35,17,Lawn Green,15,32,14,Lawn Green,19,36,18,Lawn Green,Lawn Green
"Grid(0, 36)",17,36,16,Lawn Green,16,35,15,Lawn Green,13,32,13,Bright Green,15,34,14,Lawn Green,Lawn Green
"Grid(0, 37)",14,31,12,Lawn Green,13,30,12,Lawn Green,15,32,13,Lawn Green,14,31,13,Lawn Green,Lawn Green
"Grid(0, 39)",14,28,11,Lawn Green,13,27,12,Lawn Green,12,29,10,Lawn Green,16,33,14,Lawn Green,Lawn Green
"Grid(0, 40)",17,34,15,Lawn Green,9,21,7,Lawn Green,18,35,16,Lawn Green,18,36,14,Lawn Green,Lawn Green
"Grid(0, 41)",9,21,9,Bright Green,13,25,13,Bright Green,10,20,9,Lawn Green,14,26,14,Bright Green,Bright Green
"Grid(0, 43)",13,30,12,Lawn Green,12,29,11,Lawn Green,14,31,13,Lawn Green,11,28,10,Lawn Green,Lawn Green
"Grid(0, 44)",11,28,10,Lawn Green,10,27,9,Lawn Green,14,31,12,Lawn Green,12,29,10,Lawn Green,Lawn Green
"Grid(0, 45)",12,31,12,Bright Green,10,27,9,Lawn Green,17,39,18,Bright Green,11,30,11,Bright Green,Bright Green
"Grid(0, 46)",15,29,12,Lawn Green,13,27,12,Lawn Green,14,31,13,Lawn Green,14,27,10,Lawn Green,Lawn Green
"Grid(0, 47)",17,34,15,Lawn Green,12,29,10,Lawn Green,13,30,11,Lawn Green,18,37,17,Lawn Green,Lawn Green
"Grid(0, 48)",61,72,40,Inchworm,29,53,21,Lawn Green,63,72,41,Inchworm,62,71,40,Inchworm,Inchworm
"Grid(0, 49)",7,25,9,Bright Green,8,24,13,Celadon,9,25,12,Bright Green,6,24,10,Bright Green,Bright Green
"Grid(1, 1)",14,28,15,Bright Green,13,27,14,Bright Green,15,29,16,Bright Green,12,26,13,Bright Green,Bright Green
"Grid(1, 2)",13,27,14,Bright Green,12,26,13,Bright Green,11,25,12,Bright Green,14,28,15,Bright Green,Bright Green
"Grid(1, 3)",16,35,16,Bright Green,17,36,17,Bright Green,15,34,15,Bright Green,14,33,14,Bright Green,Bright Green
"Grid(1, 4)",17,39,18,Bright Green,19,36,17,Lawn Green,13,30,11,Lawn Green,19,38,18,Lawn Green,Lawn Green
"Grid(1, 5)",14,31,13,Lawn Green,16,33,15,Lawn Green,17,34,16,Lawn Green,18,35,17,Lawn Green,Lawn Green
"Grid(1, 6)",16,37,18,Bright Green,18,40,19,Bright Green,12,31,12,Bright Green,15,36,17,Bright Green,Bright Green
"Grid(1, 7)",15,29,16,Bright Green,14,28,15,Bright Green,14,28,13,Lawn Green,13,27,14,Bright Green,Bright Green
"Grid(1, 8)",14,26,12,Lawn Green,11,23,9,Lawn Green,12,24,10,Lawn Green,13,25,11,Lawn Green,Lawn Green
