grid,color1_h,color1_s,color1_v,color2_h,color2_s,color2_v,color3_h,color3_s,color3_v,color4_h,color4_s,color4_v,repeated_colour
"Grid(0, 1)",12,26,13,13,27,14,9,23,10,11,25,12,Bright Green
"Grid(0, 2)",16,35,15,18,35,16,15,34,15,14,33,13,Lawn Green
"Grid(0, 3)",13,30,12,15,32,14,14,31,13,16,38,17,Lawn Green
"Grid(0, 4)",9,21,9,10,22,10,8,20,8,18,37,18,Bright Green
"Grid(0, 8)",18,37,17,18,36,14,14,35,16,20,44,18,Lawn Green
"Grid(0, 9)",11,28,12,14,31,15,12,29,13,20,39,17,Bright Green
"Grid(0, 10)",17,42,13,18,43,14,23,48,19,22,47,18,Lawn Green
"Grid(0, 11)",17,40,14,22,47,18,15,37,14,16,39,13,Lawn Green
"Grid(0, 13)",28,51,23,19,38,16,12,31,12,18,40,17,Lawn Green
"Grid(0, 14)",11,28,10,13,27,10,10,27,11,9,26,8,Lawn Green
"Grid(0, 15)",20,44,20,9,23,8,8,22,7,7,21,6,Lawn Green
"Grid(0, 16)",16,38,17,17,39,18,15,37,16,18,40,19,Bright Green
"Grid(0, 18)",17,36,17,20,39,19,18,37,17,19,38,18,Lawn Green
"Grid(0, 19)",20,39,19,19,41,18,19,38,18,18,40,17,Lawn Green
"Grid(0, 20)",27,31,16,23,30,14,39,44,24,46,51,31,Inchworm
"Grid(0, 21)",14,31,15,25,38,20,23,38,19,18,31,14,Lawn Green
"Grid(0, 22)",19,38,18,18,37,17,20,39,19,23,42,22,Lawn Green
"Grid(0, 23)",20,38,16,19,38,16,20,39,17,21,40,18,Lawn Green
"Grid(0, 24)",20,39,20,24,46,25,17,36,16,8,32,8,Bright Green
"Grid(0, 26)",35,60,30,29,59,25,54,60,32,31,58,25,Lawn Green
"Grid(0, 28)",20,38,16,19,37,15,19,38,16,18,36,14,Lawn Green
"Grid(0, 29)",33,60,27,22,36,19,15,32,13,36,48,24,Lawn Green
"Grid(0, 30)",33,49,20,36,47,30,31,50,22,34,20,9,Lawn Green
"Grid(0, 32)",15,32,13,16,33,14,14,31,12,20,35,14,Lawn Green
"Grid(0, 33)",20,37,19,17,34,16,26,52,25,19,36,17,Lawn Green
"Grid(0, 34)",17,36,16,14,33,11,16,39,13,45,58,30,Lawn Green
"Grid(0, 35)",17,36,17,18,35,17,15,32,14,19,36,18,Lawn Green
"Grid(0, 36)",17,36,16,16,35,15,13,32,13,15,34,14,Lawn Green
"Grid(0, 37)",14,31,12,13,30,12,15,32,13,14,31,13,Lawn Green
"Grid(0, 39)",14,28,11,13,27,12,12,29,10,16,33,14,Lawn Green
"Grid(0, 40)",17,34,15,9,21,7,18,35,16,18,36,14,Lawn Green
"Grid(0, 41)",9,21,9,13,25,13,10,20,9,14,26,14,Bright Green
"Grid(0, 43)",13,30,12,12,29,11,14,31,13,11,28,10,Lawn Green
"Grid(0, 44)",11,28,10,10,27,9,14,31,12,12,29,10,Lawn Green
"Grid(0, 45)",12,31,12,10,27,9,17,39,18,11,30,11,Bright Green
"Grid(0, 46)",15,29,12,13,27,12,14,31,13,14,27,10,Lawn Green
"Grid(0, 47)",17,34,15,12,29,10,13,30,11,18,37,17,Lawn Green
"Grid(0, 48)",61,72,40,29,53,21,63,72,41,62,71,40,Inchworm
"Grid(0, 49)",7,25,9,8,24,13,9,25,12,6,24,10,Bright Green
"Grid(1, 1)",14,28,15,13,27,14,15,29,16,12,26,13,Bright Green
"Grid(1, 2)",13,27,14,12,26,13,11,25,12,14,28,15,Bright Green
"Grid(1, 3)",16,35,16,17,36,17,15,34,15,14,33,14,Bright Green
"Grid(1, 4)",17,39,18,19,36,17,13,30,11,19,38,18,Lawn Green
"Grid(1, 5)",14,31,13,16,33,15,17,34,16,18,35,17,Lawn Green
"Grid(1, 6)",16,37,18,18,40,19,12,31,12,15,36,17,Bright Green
"Grid(1, 7)",15,29,16,14,28,15,14,28,13,13,27,14,Bright Green
"Grid(1, 8)",14,26,12,11,23,9,12,24,10,13,25,11,Lawn Green
